TIME,BARALT,MBS,AIRT,DRAD,LAT,LON,GPS,ALT
13:03:16,3567.0,900.85,17.1,19.2,34.49166666666667,-103.78333333333333,1262.0,
13:04:16,4246.0,877.75,23.3,19.6,34.49333333333333,-103.78333333333333,1380.0,
13:05:16,4999.0,852.67,23.0,19.9,34.498333333333335,-103.78666666666666,1624.0,
13:06:16,5771.0,827.59,21.2,20.3,34.501666666666665,-103.79166666666667,1914.0,
13:07:16,6541.0,803.17,19.4,20.3,34.50666666666667,-103.795,2166.0,
13:08:16,7299.0,779.74,18.2,19.9,34.50833333333333,-103.79833333333333,2416.0,
13:09:17,8075.0,756.31,16.4,19.6,34.50833333333333,-103.8,2653.0,
13:10:17,8826.0,734.2,14.0,18.6,34.50833333333333,-103.79833333333333,2933.0,
13:11:17,9642.0,710.77,11.8,17.3,34.50666666666667,-103.79666666666667,3192.0,
13:12:17,10338.0,691.3,10.5,15.7,34.50666666666667,-103.79333333333334,3466.0,
13:13:17,10928.0,675.13,12.0,15.1,34.50666666666667,-103.79,3663.0,
13:14:17,11543.0,658.63,11.1,14.5,34.50666666666667,-103.78833333333333,3867.0,
13:15:17,12170.0,642.13,9.9,14.2,34.50666666666667,-103.78666666666666,4077.0,
13:16:17,12785.0,626.29,8.7,13.6,34.50833333333333,-103.78666666666666,4300.0,
13:17:17,13560.0,606.82,7.0,12.8,34.51,-103.78666666666666,4536.0,
13:18:17,14164.0,591.97,5.4,12.2,34.51166666666666,-103.785,4776.0,
13:19:17,14851.0,575.47,3.6,11.1,34.513333333333335,-103.785,5007.0,
13:20:17,15527.0,559.63,1.9,10.1,34.515,-103.785,5196.0,
13:21:17,16175.0,544.78,0.9,9.0,34.516666666666666,-103.78166666666667,5418.0,
13:22:17,16779.0,531.25,-0.6,8.3,34.516666666666666,-103.78,5632.0,
13:23:17,17655.0,512.11,-2.4,7.6,34.51833333333333,-103.77666666666667,5874.0,
13:24:17,18402.0,496.27,-4.6,6.8,34.52,-103.77333333333333,6133.0,
13:25:17,19169.0,480.43,-6.3,5.9,34.52,-103.77166666666666,6388.0,
13:26:17,19726.0,469.21,-8.0,5.0,34.52,-103.77,6650.0,
13:27:17,20430.0,455.35,-8.0,4.1,34.52,-103.76833333333333,6856.0,
13:28:17,21240.0,439.84,-9.1,3.5,34.52166666666667,-103.76666666666667,7093.0,
13:29:17,21823.0,428.95,-11.3,2.7,34.52333333333333,-103.76666666666667,7337.0,
13:30:17,22548.0,415.75,-12.1,1.9,34.525,-103.76666666666667,7579.0,
13:31:18,23482.0,399.25,-14.1,0.7,34.526666666666664,-103.76666666666667,7833.0,
13:32:18,24040.0,389.68,-16.3,-0.1,34.528333333333336,-103.76666666666667,8091.0,
13:33:18,24949.0,374.5,-18.7,-1.0,34.528333333333336,-103.76833333333333,8324.0,
13:34:18,25642.0,363.28,-21.2,-2.1,34.53,-103.77,8606.0,
13:35:18,26461.0,350.41,-26.2,-3.3,34.53,-103.77166666666666,8894.0,
13:36:18,27594.0,333.25,-24.7,-4.7,34.528333333333336,-103.775,9167.0,
13:37:18,28294.0,323.02,-26.2,-5.3,34.53,-103.77666666666667,9432.0,
13:38:18,28827.0,315.43,-27.5,-6.3,34.53333333333333,-103.78,9695.0,
13:39:18,29708.0,303.22,-30.2,-6.9,34.535,-103.78333333333333,9928.0,
13:40:18,30823.0,288.37,-31.4,-7.8,34.538333333333334,-103.78833333333333,10201.0,
13:41:18,31517.0,279.46,-33.4,-8.8,34.54,-103.795,10466.0,
13:42:18,32177.0,271.21,-35.3,-9.8,34.54333333333334,-103.80333333333333,10733.0,
13:43:18,32664.0,265.27,-35.5,-11.0,34.545,-103.815,10984.0,
13:44:18,33897.0,250.75,-39.0,-11.8,34.54833333333333,-103.82666666666667,11185.0,
13:45:18,34685.0,241.84,-39.2,-12.7,34.55166666666667,-103.83833333333334,11440.0,
13:46:18,35196.0,236.23,-41.7,-13.2,34.553333333333335,-103.85333333333334,11719.0,
13:47:18,36250.0,225.01,-43.8,-14.1,34.556666666666665,-103.86666666666666,11988.0,
13:48:18,37387.0,213.46,-46.0,-14.9,34.556666666666665,-103.88333333333334,12259.0,
13:49:18,37892.0,208.51,-47.4,-16.0,34.55833333333333,-103.89833333333333,12583.0,
13:50:19,38899.0,198.94,-51.4,-16.8,34.56,-103.91333333333333,12860.0,
13:51:19,39329.0,194.98,-54.9,-18.0,34.56,-103.92833333333333,13149.0,
13:52:19,40747.0,182.44,-57.4,-19.4,34.56,-103.94333333333333,13437.0,
13:53:19,42216.0,170.23,-61.0,-20.9,34.56,-103.96,13726.0,
13:54:19,43095.0,163.3,-63.6,-22.5,34.55833333333333,-103.97166666666666,14016.0,
13:55:19,43223.0,162.31,-60.0,-23.1,34.55833333333333,-103.98,14321.0,
13:56:19,44595.0,152.08,-61.2,-23.3,34.556666666666665,-103.98666666666666,14594.0,
13:57:19,44916.0,149.77,-64.1,-23.3,34.556666666666665,-103.99166666666666,14875.0,
13:58:19,46154.0,141.19,-68.3,-23.6,34.556666666666665,-103.99666666666667,15140.0,
13:59:19,46850.0,136.57,-68.9,-24.6,34.55833333333333,-104.0,15366.0,
14:00:19,47568.0,131.95,-65.1,-25.2,34.56,-104.0,15641.0,
14:01:19,48474.0,126.34,-66.9,-24.9,34.56166666666667,-103.99833333333333,15864.0,
14:02:19,49081.0,122.71,-70.3,-24.3,34.565,-103.99833333333333,16073.0,
14:03:19,49821.0,118.42,-66.2,-24.0,34.56666666666667,-104.0,16284.0,
14:04:19,50467.0,114.79,-69.3,-23.3,34.568333333333335,-102.00333333333333,16508.0,
14:05:19,51319.0,110.17,-72.3,-23.3,34.568333333333335,-102.005,16730.0,
14:06:19,51758.0,107.86,-71.6,-23.0,34.568333333333335,-102.00833333333334,16968.0,
14:07:19,52466.0,104.23,-67.3,-22.9,34.56666666666667,-102.01,17184.0,
14:08:19,53131.0,100.93,-68.3,-22.2,34.56666666666667,-102.00833333333334,17365.0,
14:09:19,56039.0,87.66,-67.5,-21.4,34.56666666666667,-102.005,17528.0,
14:10:19,56572.0,85.42,-68.1,-20.9,34.568333333333335,-102.00333333333333,17684.0,
14:11:19,57166.0,82.99,-66.1,-20.9,34.568333333333335,-102.00166666666667,17841.0,
14:12:20,57569.0,81.38,-65.8,-19.0,34.568333333333335,-102.0,17982.0,
14:13:20,57862.0,80.23,-64.4,-18.1,34.57,-102.0,18086.0,
14:14:20,58342.0,78.38,-67.7,-17.5,34.57,-102.0,18196.0,
14:15:20,59095.0,75.56,-63.3,-17.7,34.57,-102.00166666666667,18388.0,
14:16:20,59852.0,72.83,-63.8,-17.6,34.56666666666667,-102.0,18618.0,
14:17:20,60502.0,70.56,-62.3,-17.0,34.565,-103.99833333333333,18808.0,
14:18:20,61204.0,68.19,-62.2,-16.7,34.56333333333333,-103.99666666666667,19016.0,
14:19:20,61909.0,65.89,-62.0,-16.1,34.56166666666667,-103.99333333333334,19223.0,
14:20:20,62408.0,64.31,-63.8,-15.2,34.56166666666667,-103.99,19396.0,
14:21:20,62899.0,62.79,-64.3,-15.0,34.56166666666667,-103.985,19529.0,
14:22:20,63366.0,61.38,-60.5,-14.3,34.56,-103.98333333333333,19663.0,
14:23:20,63891.0,59.83,-59.2,-13.5,34.55833333333333,-103.98,19828.0,
14:24:20,64441.0,58.25,-58.1,-13.1,34.55833333333333,-103.97666666666667,19993.0,
14:25:20,65054.0,56.54,-62.9,-12.7,34.55833333333333,-103.97333333333333,20151.0,
14:26:20,65723.0,54.73,-58.6,-12.3,34.556666666666665,-103.97,20352.0,
14:27:20,66321.0,53.16,-57.4,-12.3,34.555,-103.965,20538.0,
14:28:20,66850.0,51.81,-54.0,-11.8,34.555,-103.96,20721.0,
14:29:20,67435.0,50.36,-59.0,-11.2,34.555,-103.95333333333333,20883.0,
14:30:20,68091.0,48.78,-53.9,-11.3,34.556666666666665,-103.94833333333334,21071.0,
14:31:20,68769.0,47.2,-58.7,-10.4,34.55833333333333,-103.945,21273.0,
14:32:20,69530.0,45.49,-53.2,-9.9,34.56,-103.94,21485.0,
14:33:20,70226.0,43.98,-56.1,-9.1,34.55833333333333,-103.93333333333334,21695.0,
14:34:20,70919.0,42.53,-57.8,-8.6,34.55833333333333,-103.92666666666666,21910.0,
14:35:21,71565.0,41.22,-52.6,-8.2,34.56,-103.92,22109.0,
14:36:21,72202.0,39.97,-57.8,-7.4,34.56,-103.91666666666667,22335.0,
14:37:21,72774.0,38.88,-56.7,-8.2,34.56,-103.91166666666666,22509.0,
14:38:21,73489.0,37.56,-53.6,-9.0,34.56,-103.905,22692.0,
14:39:21,74374.0,35.99,-57.1,-9.8,34.56166666666667,-103.9,22941.0,
14:40:21,75246.0,34.51,-52.1,-10.4,34.56166666666667,-103.895,23211.0,
14:41:21,76057.0,33.19,-51.5,-9.8,34.56166666666667,-103.88833333333334,23454.0,
14:42:21,76791.0,32.04,-57.2,-8.5,34.56166666666667,-103.88166666666666,23679.0,
14:43:21,77600.0,30.82,-50.9,-7.6,34.56,-103.87333333333333,23904.0,
14:44:21,78465.0,29.57,-51.4,-7.2,34.56,-103.86333333333333,24184.0,
14:45:21,79220.0,28.52,-55.3,-6.1,34.56,-103.85666666666667,24442.0,
14:46:21,79831.0,27.7,-48.6,-5.0,34.55833333333333,-103.84833333333333,24620.0,
14:47:21,80469.0,26.87,-47.4,-4.2,34.55833333333333,-103.84166666666667,24802.0,
14:48:21,81249.0,25.89,-47.6,-3.3,34.55833333333333,-103.83333333333333,25018.0,
14:49:21,82128.0,24.83,-47.1,-2.3,34.556666666666665,-103.82666666666667,25259.0,
14:50:21,82950.0,23.88,-47.8,-1.7,34.555,-103.81666666666666,25516.0,
14:51:21,83752.0,22.99,-50.7,-1.0,34.553333333333335,-103.80833333333334,25790.0,
14:52:21,84519.0,22.17,-47.2,-0.6,34.55,-103.79833333333333,26013.0,
14:53:21,85120.0,21.55,-47.5,-0.4,34.55,-103.78833333333333,26225.0,
14:54:21,85648.0,21.02,-42.8,0.5,34.55,-103.78,26380.0,
14:55:21,86326.0,20.36,-42.8,1.7,34.55,-103.77,26543.0,
14:56:21,87027.0,19.7,-46.3,2.5,34.55,-103.76166666666667,26749.0,
14:57:22,87967.0,18.85,-44.3,2.9,34.54833333333333,-103.75,27058.0,
14:58:22,88811.0,18.12,-47.1,2.5,34.54833333333333,-103.74,27319.0,
14:59:22,89716.0,17.37,-47.8,2.5,34.55,-103.73,27554.0,
15:00:22,90586.0,16.68,-43.7,2.7,34.55,-103.72,27834.0,
15:01:22,91414.0,16.05,-42.8,5.5,34.55,-103.71,28063.0,
15:02:22,92000.0,15.62,-49.4,4.0,34.55,-103.70333333333333,28289.0,
15:03:22,92503.0,15.26,-41.6,4.6,34.55,-103.69666666666667,28450.0,
15:04:22,93311.0,14.7,-39.5,5.3,34.54833333333333,-103.68833333333333,28627.0,
15:05:22,94400.0,13.98,-39.6,5.8,34.54666666666667,-103.68,28941.0,
15:06:22,95452.0,13.32,-39.5,6.0,34.545,-103.67,29280.0,
15:07:22,96440.0,12.73,-46.7,6.7,34.54333333333334,-103.65833333333333,29536.0,
15:08:22,97191.0,12.3,-47.1,7.1,34.541666666666664,-103.64833333333333,29818.0,
15:09:22,98082.0,11.81,-40.0,7.4,34.538333333333334,-103.63833333333334,30067.0,
15:10:22,98955.0,11.35,-39.6,7.9,34.53666666666667,-103.62833333333333,30285.0,
15:11:22,99604.0,11.02,-37.9,8.9,34.53666666666667,-103.61666666666666,30537.0,
15:12:22,100275.0,10.69,-36.4,9.6,34.53666666666667,-103.60166666666667,30748.0,
15:13:22,101033.0,10.33,-39.4,10.1,34.53666666666667,-103.59166666666667,30941.0,
15:14:22,101291.0,10.21,-36.0,10.9,34.53666666666667,-103.57833333333333,31190.0,
15:15:22,102291.0,9.76,-42.1,11.2,34.54,-103.56666666666666,31469.0,
15:16:22,103270.0,9.34,-34.4,10.9,34.54333333333334,-103.55666666666667,31778.0,
15:17:22,104097.0,9.0,-36.8,11.5,34.54666666666667,-103.545,32060.0,
15:18:22,105062.0,8.62,-39.2,11.5,34.55166666666667,-103.53333333333333,32305.0,
15:19:22,106073.0,8.24,-35.2,11.5,34.555,-103.525,32641.0,
15:20:23,106766.0,7.99,-34.5,11.7,34.555,-103.51666666666667,32888.0,
15:21:23,107395.0,7.77,-40.6,12.3,34.555,-103.51,33072.0,
15:22:23,108104.0,7.53,-34.7,12.3,34.555,-103.505,33262.0,
15:23:23,109087.0,7.21,-34.0,13.1,34.556666666666665,-103.49666666666667,33526.0,
15:24:23,110350.0,6.82,-35.1,13.1,34.556666666666665,-103.49166666666666,33834.0,
15:25:23,111305.0,6.54,-38.6,13.1,34.555,-103.48166666666667,34199.0,
15:26:23,111907.0,6.37,-36.2,16.4,34.553333333333335,-103.47,34434.0,
15:27:23,112342.0,6.25,-33.7,14.6,34.556666666666665,-103.45833333333333,34555.0,
15:28:23,113087.0,6.05,-29.8,14.6,34.56,-103.45,34716.0,
15:29:23,114176.0,5.77,-37.5,14.9,34.56333333333333,-103.43833333333333,35036.0,
15:30:23,114948.0,5.58,-29.5,15.2,34.56333333333333,-103.425,35310.0,
15:31:23,115407.0,5.47,-27.8,15.5,34.56166666666667,-103.415,35452.0,
15:32:23,116007.0,5.33,-36.4,15.8,34.56,-103.40333333333334,35623.0,
15:33:23,116623.0,5.19,-31.2,16.1,34.556666666666665,-103.39,35817.0,
15:34:23,116803.0,5.15,-26.5,16.4,34.553333333333335,-103.37666666666667,35932.0,
15:35:23,117029.0,5.1,-29.5,20.8,34.54833333333333,-103.36,35961.0,
15:36:23,117817.0,4.93,-32.7,18.0,34.54333333333334,-103.34333333333333,36116.0,
15:37:23,118634.0,4.76,-24.2,21.2,34.54,-103.32833333333333,36369.0,
15:38:23,119382.0,4.61,-28.0,21.2,34.53666666666667,-103.30666666666667,36653.0,
15:39:23,119843.0,4.52,-30.5,21.5,34.538333333333334,-103.285,36805.0,
15:40:23,119739.0,4.54,-30.0,21.5,34.541666666666664,-103.27,36844.0,
15:41:23,119946.0,4.5,-22.2,18.7,34.54666666666667,-103.25333333333333,36835.0,
15:42:23,120633.0,4.37,-15.5,21.5,34.55166666666667,-103.23666666666666,36982.0,
15:43:24,121067.0,4.29,-21.7,22.3,34.556666666666665,-103.21833333333333,37184.0,
15:44:24,120957.0,4.31,-27.6,21.9,34.56333333333333,-103.19833333333334,37224.0,
15:45:24,120155.0,4.46,-27.9,18.7,34.568333333333335,-103.18166666666667,37074.0,
15:46:24,119843.0,4.52,-25.3,18.7,34.575,-103.16,36861.0,
15:47:24,120208.0,4.45,-19.4,19.7,34.58,-103.14,36904.0,
15:48:24,120903.0,4.32,-24.5,20.8,34.585,-103.12333333333333,37077.0,
15:49:24,121121.0,4.28,-22.6,21.5,34.59166666666667,-103.10333333333334,37223.0,
15:50:24,120849.0,4.33,-27.2,21.2,34.596666666666664,-103.085,37209.0,
15:51:24,120366.0,4.42,-29.8,18.7,34.60166666666667,-103.07,37072.0,
15:52:24,120208.0,4.45,-28.7,16.8,34.608333333333334,-103.05,36959.0,
15:53:24,120473.0,4.4,-29.4,17.1,34.61333333333333,-103.02833333333334,36986.0,
15:54:24,120795.0,4.34,-21.7,18.7,34.61833333333333,-103.01166666666667,37078.0,
15:55:24,121121.0,4.28,-27.2,20.1,34.625,-104.99166666666666,37208.0,
15:56:24,120903.0,4.32,-26.3,20.8,34.63166666666667,-104.97333333333333,37206.0,
15:57:24,120261.0,4.44,-25.2,21.2,34.63666666666667,-104.95666666666666,37071.0,
15:58:24,119843.0,4.52,-17.5,21.5,34.641666666666666,-104.93833333333333,36881.0,
15:59:24,120051.0,4.48,-19.6,22.6,34.64833333333333,-104.91833333333334,36872.0,
16:00:24,120473.0,4.4,-22.5,24.2,34.655,-104.9,36982.0,
16:01:24,120741.0,4.35,-25.3,24.6,34.66166666666667,-104.88333333333334,37090.0,
16:02:24,120903.0,4.32,-25.7,24.2,34.66833333333334,-104.86666666666666,37149.0,
16:03:24,121012.0,4.3,-25.2,23.0,34.675,-104.84833333333333,37200.0,
16:04:24,120903.0,4.32,-24.9,20.8,34.681666666666665,-104.83333333333333,37203.0,
16:05:25,120741.0,4.35,-24.3,18.0,34.68833333333333,-104.815,37144.0,
16:06:25,120633.0,4.37,-24.3,16.1,34.696666666666665,-104.79666666666667,37094.0,
16:07:25,120741.0,4.35,-24.5,14.3,34.70333333333333,-104.77833333333334,37103.0,
16:08:25,120849.0,4.33,-25.9,13.4,34.711666666666666,-104.76,37137.0,
16:09:25,121121.0,4.28,-26.0,12.6,34.71666666666667,-104.745,37216.0,
16:10:25,121176.0,4.27,-26.1,13.4,34.725,-104.72666666666667,37268.0,
16:11:25,120903.0,4.32,-26.3,14.6,34.73166666666667,-104.71166666666667,37220.0,
16:12:25,120526.0,4.39,-27.7,16.1,34.74,-104.69333333333333,37113.0,
16:13:25,120366.0,4.42,-29.0,18.0,34.748333333333335,-104.67333333333333,37028.0,
16:14:25,120526.0,4.39,-28.0,19.0,34.755,-104.65666666666667,37037.0,
16:15:25,120849.0,4.33,-27.2,20.8,34.763333333333335,-104.63833333333334,37113.0,
16:16:25,121012.0,4.3,-25.5,22.3,34.77,-104.62166666666667,37183.0,
16:17:25,121012.0,4.3,-24.0,23.0,34.778333333333336,-104.60333333333334,37198.0,
16:18:25,121121.0,4.28,-24.5,24.2,34.78666666666667,-104.58333333333333,37226.0,
16:19:25,121121.0,4.28,-26.2,24.6,34.79666666666667,-104.565,37255.0,
16:20:25,121012.0,4.3,-25.9,25.4,34.803333333333335,-104.54833333333333,37226.0,
16:21:25,121012.0,4.3,-25.9,25.4,34.81166666666667,-104.53,37200.0,
16:22:25,121067.0,4.29,-26.2,25.8,34.82,-104.51166666666667,37213.0,
16:23:25,121121.0,4.28,-25.2,26.2,34.82666666666667,-104.49666666666667,37236.0,
16:24:25,121231.0,4.26,-24.6,27.1,34.835,-104.47833333333334,37267.0,
16:25:25,121176.0,4.27,-25.3,27.1,34.843333333333334,-104.46166666666667,37279.0,
16:26:25,121067.0,4.29,-26.6,27.5,34.85166666666667,-104.445,37255.0,
16:27:25,121121.0,4.28,-27.6,27.1,34.858333333333334,-104.43166666666667,37246.0,
16:28:26,121121.0,4.28,-28.2,27.1,34.86666666666667,-104.415,37251.0,
16:29:26,121287.0,4.25,-25.3,27.1,34.875,-104.39833333333333,37274.0,
16:30:26,121398.0,4.23,-28.0,27.1,34.885,-104.38166666666666,37325.0,
16:31:26,121287.0,4.25,-28.5,27.1,34.89333333333333,-104.36666666666666,37300.0,
16:32:26,121176.0,4.27,-29.4,26.2,34.903333333333336,-104.35,37274.0,
16:33:26,121012.0,4.3,-29.7,27.1,34.91166666666667,-104.33333333333333,37238.0,
16:34:26,120903.0,4.32,-28.2,26.7,34.92,-104.32,37178.0,
16:35:26,121121.0,4.28,-28.8,27.1,34.928333333333335,-104.305,37208.0,
